run_id,model,economic,social,parsed_fraction,run_timestamp
run_20251025T234436Z_8cebc7,claude-3-haiku-20240307,5.25,5.0,1.0,2025-10-25T23:44:45.000088+00:00
run_20251025T234436Z_8cebc7,claude-3-sonnet-20240229,0.0,0.0,0.025,2025-10-25T23:44:47.150893+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,0.0,5.0,1.0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-1.5-pro,-0.5,0.0,0.025,2025-10-25T23:44:49.395639+00:00
run_20251025T234436Z_8cebc7,gpt-4o-mini,4.5,6.25,1.0,2025-10-25T23:44:36.333253+00:00
run_20251025T234436Z_8cebc7,gpt-4o,5.5,7.25,1.0,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,6.5,6.5,0.975,2025-10-25T23:44:43.629140+00:00
